song,total,write,read,dwt,gen_fpid
song24.wav,0.267517,0.062821,0.006961,0.119094,0.062875
song250.wav,0.267068,0.062686,0.006905,0.119111,0.062938
song251.wav,0.289412,0.069795,0.006940,0.133995,0.062925
song252.wav,0.267640,0.063098,0.006896,0.119183,0.062866
song253.wav,0.278827,0.063112,0.006950,0.130211,0.062830
song254.wav,0.268057,0.062563,0.006977,0.119759,0.062908
song255.wav,0.269441,0.062705,0.006985,0.119240,0.064886
song256.wav,0.274030,0.069486,0.007002,0.119174,0.062859
song257.wav,0.291701,0.063362,0.027649,0.119179,0.065861
song258.wav,0.267949,0.063262,0.006949,0.119274,0.062858
song259.wav,0.266766,0.062387,0.006900,0.119244,0.062835
song25.wav,0.267219,0.062432,0.006922,0.119249,0.062828
song260.wav,0.266913,0.062494,0.006893,0.119221,0.062847
song261.wav,0.266982,0.062316,0.006902,0.119130,0.062858
song262.wav,0.267437,0.062811,0.006953,0.119259,0.062906
song263.wav,0.267321,0.062543,0.006889,0.119233,0.062851
song264.wav,0.267537,0.063112,0.006947,0.119234,0.062850
song265.wav,0.275033,0.070305,0.006972,0.119194,0.062845
song266.wav,0.267502,0.062982,0.006939,0.119145,0.062879
song267.wav,0.268718,0.062166,0.006950,0.121253,0.062865
song268.wav,0.267094,0.062633,0.006979,0.119121,0.062902
song269.wav,0.279479,0.062688,0.007052,0.130786,0.062972
song26.wav,0.267731,0.062994,0.006944,0.119284,0.062907
song270.wav,0.268312,0.062033,0.006941,0.119185,0.063050
song271.wav,0.267202,0.062688,0.006927,0.119253,0.062879
song272.wav,0.268286,0.062796,0.006987,0.119365,0.063617
